question_id,company,doc_name,question_type,question_reasoning,gold_pages_one_indexed,method_key,method_label,predicted_pages,matched_pages_zero_indexed,evidence_recall,citation_precision,answer_verdict,answer_score,input_tokens,output_tokens,total_tokens,latency_ms,adapter_mode,model,answer_rationale
fb_mvp_003,AMD,AMD_2022_10K,domain-relevant,Information extraction,4,vector_rag,Vector RAG + reranker,"4,67,60",3,1.0,0.3333333333333333,correct,1.0,1697,502,2199,9314,tfidf_vector_search_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer lists all the major products and services mentioned in the gold answer: server CPUs, GPUs, DPUs, FPGAs, Adaptive SoCs for data centers; CPUs, APUs, chipsets for client PCs; discrete GPUs, semi-custom SoC products and development services; embedded CPUs, GPUs, APUs, FPGAs, and Adaptive SoC products. The gold answer does not include IP licensing, but the predicted answer adds it as an additional service that is factually accurate and does not contradict the gold answer. Thus, it fully answers the question and matches the gold answer in content."
fb_mvp_003,AMD,AMD_2022_10K,domain-relevant,Information extraction,4,hybrid_rag,Hybrid RAG,"4,60,7",3,1.0,0.3333333333333333,correct,1.0,1697,962,2659,15477,bm25_tfidf_rrf_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer includes all the major products and services listed in the gold answer (server CPUs/GPUs, DPUs, FPGAs, Adaptive SoCs for data centers; CPUs, APUs, chipsets for client; discrete GPUs, semi-custom SoCs and development services; and embedded CPUs, GPUs, APUs, FPGAs, Adaptive SoCs). The extra mention of IP licensing does not contradict or omit any gold answer item, so the answer is fully correct."
fb_mvp_004,AMD,AMD_2022_10K,domain-relevant,Numerical reasoning,58,pageindex,PageIndex,"59,58,51",57,1.0,0.3333333333333333,correct,1.0,1807,313,2120,6104,tree_page_scoring,,"The predicted answer correctly identifies operating activities as the source of the most cash flow for AMD in FY22, matching the gold answer. The inclusion of the exact cash flow amount is additional detail that does not conflict with the gold answer."
fb_mvp_004,AMD,AMD_2022_10K,domain-relevant,Numerical reasoning,58,long_context,Long-context,"58,51,47",57,1.0,0.3333333333333333,correct,1.0,88491,290,88781,13380,full_document_context,deepseek/deepseek-v4-pro,"The predicted answer correctly identifies operating activities as the one that brought in the most cash flow for AMD in FY22, which fully matches the gold answer."
fb_mvp_004,AMD,AMD_2022_10K,domain-relevant,Numerical reasoning,58,vector_rag,Vector RAG + reranker,"51,59,58",57,1.0,0.3333333333333333,correct,1.0,2073,305,2378,7845,tfidf_vector_search_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer correctly identifies operating activities as bringing in the most cash flow, which fully matches the gold answer."
fb_mvp_004,AMD,AMD_2022_10K,domain-relevant,Numerical reasoning,58,hybrid_rag,Hybrid RAG,"59,51,58",57,1.0,0.3333333333333333,correct,1.0,2028,487,2515,9895,bm25_tfidf_rrf_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer correctly identifies operating activities as the source of the most cash flow, matching the gold answer that says Operations. The additional numerical detail does not conflict."
fb_mvp_005,Best Buy,BESTBUY_2023_10K,domain-relevant,Logical reasoning (based on numerical reasoning) OR Logical reasoning,40,pageindex,PageIndex,"40,25,28",39,1.0,0.3333333333333333,correct,1.0,3016,674,3690,11601,tree_page_scoring,,"The predicted answer states that gross margins are historically consistent, provides specific percentages showing a 1.1% fluctuation, and confirms that gross margin is a relevant metric. This fully matches the gold answer's conclusion of consistent margins with a minor 1.1% decline, and additionally addresses the relevance question appropriately."
fb_mvp_005,Best Buy,BESTBUY_2023_10K,domain-relevant,Logical reasoning (based on numerical reasoning) OR Logical reasoning,40,long_context,Long-context,"25,26,23",,0.0,0.0,correct,1.0,67817,668,68485,16568,full_document_context,deepseek/deepseek-v4-pro,"The predicted answer directly confirms that gross margins are historically consistent with fluctuations less than 2% each year, and specifically highlights the 1.1% decline between FY2022 and FY2023. This matches the gold answer's statement that margins have been consistent with a minor decline of 1.1% between those years. The answer also correctly addresses the relevance of gross margin, which the gold answer implicitly acknowledges by giving a direct response."
fb_mvp_005,Best Buy,BESTBUY_2023_10K,domain-relevant,Logical reasoning (based on numerical reasoning) OR Logical reasoning,40,vector_rag,Vector RAG + reranker,"40,25,27",39,1.0,0.3333333333333333,correct,1.0,2004,591,2595,10731,tfidf_vector_search_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer states that Best Buy's gross margins are consistent, within the 2% threshold, and specifically notes a 1.1% decline from FY2022 to FY2023, matching the gold answer. It also confirms that gross margin is a relevant metric."
fb_mvp_005,Best Buy,BESTBUY_2023_10K,domain-relevant,Logical reasoning (based on numerical reasoning) OR Logical reasoning,40,hybrid_rag,Hybrid RAG,"25,40,27",39,1.0,0.3333333333333333,correct,1.0,1960,550,2510,13465,bm25_tfidf_rrf_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer correctly states that gross margins are historically consistent, quantifies the fluctuation as 1.1%, and confirms the metric is relevant, matching the gold answer's intent and conclusion."
fb_mvp_006,Boeing,BOEING_2022_10K,domain-relevant,Information extraction,113,pageindex,PageIndex,"113,19,20",112,1.0,0.3333333333333333,correct,1.0,1991,527,2518,12005,tree_page_scoring,,"The predicted answer correctly states 'Yes', acknowledges materially important ongoing legal battles, and specifically references the multiple legal actions from the 2018 and 2019 accidents (737 MAX crashes), matching the gold answer's mention of lawsuits from the Lion Air and Ethiopian Airlines crashes. The additional Embraer information does not contradict or detract from the core answer."
fb_mvp_006,Boeing,BOEING_2022_10K,domain-relevant,Information extraction,113,long_context,Long-context,"113,16,19",112,1.0,0.3333333333333333,correct,1.0,114042,549,114591,22328,full_document_context,deepseek/deepseek-v4-pro,"The predicted answer correctly states that Boeing reported materially important ongoing legal battles in FY2022, specifically citing legal actions from the 737 MAX accidents (which include the Lion Air and Ethiopian Airlines crashes mentioned in the gold answer). It provides additional detail about an arbitration dispute, but this does not contradict or omit the required information. The core question is fully addressed."
fb_mvp_006,Boeing,BOEING_2022_10K,domain-relevant,Information extraction,113,vector_rag,Vector RAG + reranker,"113,19,47",112,1.0,0.3333333333333333,incorrect,0.0,1773,457,2230,11254,tfidf_vector_search_plus_rerank,deepseek/deepseek-v4-pro,"The gold answer states that Boeing has reported materially important ongoing legal battles (yes). The predicted answer acknowledges the litigation but states that Boeing does not believe it will have a material effect, effectively denying the materiality and contradicting the gold answer."
fb_mvp_006,Boeing,BOEING_2022_10K,domain-relevant,Information extraction,113,hybrid_rag,Hybrid RAG,"113,19,47",112,1.0,0.3333333333333333,correct,1.0,1773,1152,2925,21967,bm25_tfidf_rrf_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer states that Boeing reported ongoing legal battles related to the Lion Air and Ethiopian Airlines crashes, which directly matches the gold answer's substance. The additional details (737 MAX, flight numbers, Note 21 references) supplement but do not contradict the gold answer."
fb_mvp_007,Costco,COSTCO_2021_10K,metrics-generated,Information extraction,38,pageindex,PageIndex,"38,51,45",37,1.0,0.3333333333333333,correct,1.0,2082,245,2327,5046,tree_page_scoring,,"The predicted answer states total assets as $59,268 million, which matches the gold answer of $59,268.00. Both express the same value in USD millions, fully answering the question."
fb_mvp_007,Costco,COSTCO_2021_10K,metrics-generated,Information extraction,38,long_context,Long-context,"38,51,45",37,1.0,0.3333333333333333,correct,1.0,49059,172,49231,7114,full_document_context,deepseek/deepseek-v4-pro,"The predicted answer states $59,268 million, which exactly matches the gold answer's $59268.00 after ignoring formatting differences like commas and trailing zeros."
fb_mvp_007,Costco,COSTCO_2021_10K,metrics-generated,Information extraction,38,vector_rag,Vector RAG + reranker,"38,51,53",37,1.0,0.3333333333333333,correct,1.0,2259,272,2531,6207,tfidf_vector_search_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer states total assets of $59,268 million, which exactly matches the gold answer of $59268.00 million. The answer is complete and correct."
fb_mvp_007,Costco,COSTCO_2021_10K,metrics-generated,Information extraction,38,hybrid_rag,Hybrid RAG,"38,51,53",37,1.0,0.3333333333333333,correct,1.0,2085,330,2415,7964,bm25_tfidf_rrf_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer states Costco's total assets at the end of FY2021 were $59,268 million, which matches the gold answer of $59268.00 million. It fully answers the question."
fb_mvp_008,Microsoft,MICROSOFT_2016_10K,metrics-generated,Information extraction,52,pageindex,PageIndex,"52,31,58",51,1.0,0.3333333333333333,correct,1.0,2146,193,2339,4587,tree_page_scoring,,"The predicted answer states FY2016 COGS as $32,780 million, which matches the gold answer of $32,780.00. It is in the requested units (USD millions) and fully answers the question."
fb_mvp_008,Microsoft,MICROSOFT_2016_10K,metrics-generated,Information extraction,52,long_context,Long-context,"52,32,33",51,1.0,0.3333333333333333,correct,1.0,90640,163,90803,10856,full_document_context,deepseek/deepseek-v4-pro,"The predicted answer states the FY2016 COGS as $32,780 million, which exactly matches the gold answer of $32780.00 when expressed in USD millions. It fully answers the question."
fb_mvp_008,Microsoft,MICROSOFT_2016_10K,metrics-generated,Information extraction,52,vector_rag,Vector RAG + reranker,"52,84,34",51,1.0,0.3333333333333333,correct,1.0,1880,150,2030,4899,tfidf_vector_search_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer provides the FY2016 COGS as $32,780 million, which exactly matches the gold answer of $32780.00. It fully answers the question using the income statement."
fb_mvp_008,Microsoft,MICROSOFT_2016_10K,metrics-generated,Information extraction,52,hybrid_rag,Hybrid RAG,"52,34,84",51,1.0,0.3333333333333333,correct,1.0,1880,236,2116,5835,bm25_tfidf_rrf_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer correctly states the FY2016 COGS as $32,780 million, matching the gold answer of $32780.00 million, only differing in formatting."
fb_mvp_009,Nike,NIKE_2023_10K,domain-relevant,Numerical reasoning,62,pageindex,PageIndex,"62,69,93",61,1.0,0.3333333333333333,correct,1.0,2571,279,2850,6034,tree_page_scoring,,"The predicted answer correctly identifies operations as the activity that brought in the most cash flow for Nike in FY2023, matching the gold answer. It includes additional numerical details that do not conflict with the gold answer."
fb_mvp_009,Nike,NIKE_2023_10K,domain-relevant,Numerical reasoning,62,long_context,Long-context,"62,69,14",61,1.0,0.3333333333333333,correct,1.0,83359,283,83642,12006,full_document_context,deepseek/deepseek-v4-pro,"The predicted answer correctly identifies operations as the activity that brought in the most cash flow, matching the gold answer. The additional dollar figure does not contradict or alter the correctness."
fb_mvp_009,Nike,NIKE_2023_10K,domain-relevant,Numerical reasoning,62,vector_rag,Vector RAG + reranker,"62,69,93",61,1.0,0.3333333333333333,correct,1.0,1980,249,2229,5604,tfidf_vector_search_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer correctly states that operations activities brought in the most cash flow, fully matching the gold answer and providing correct supporting figures."
fb_mvp_009,Nike,NIKE_2023_10K,domain-relevant,Numerical reasoning,62,hybrid_rag,Hybrid RAG,"62,69,93",61,1.0,0.3333333333333333,correct,1.0,1980,326,2306,7318,bm25_tfidf_rrf_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer correctly states that operations brought in the most cash, which matches the gold answer that cash flow from operations was the highest. The numbers provided further confirm the correctness."
fb_mvp_010,Amcor,AMCOR_2023Q4_EARNINGS,novel-generated,,12,pageindex,PageIndex,"11,7,12",11,1.0,0.3333333333333333,correct,1.0,3647,335,3982,5928,tree_page_scoring,,"The predicted answer states Amcor's Adjusted Non-GAAP EBITDA for FY 2023 was $2,018 million, which exactly matches the gold answer of $2,018mn. The slight wording differences and additional source citation do not affect correctness."
fb_mvp_010,Amcor,AMCOR_2023Q4_EARNINGS,novel-generated,,12,long_context,Long-context,"1,12,7",11,1.0,0.3333333333333333,correct,1.0,11286,327,11613,8325,full_document_context,deepseek/deepseek-v4-pro,"The predicted answer states Amcor's Adjusted Non-GAAP EBITDA for FY 2023 as $2,018 million, which exactly matches the gold answer's $2,018mn for the same period."
fb_mvp_010,Amcor,AMCOR_2023Q4_EARNINGS,novel-generated,,12,vector_rag,Vector RAG + reranker,"11,12,1",11,1.0,0.3333333333333333,correct,1.0,2339,329,2668,7132,tfidf_vector_search_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer states the same company, metric, fiscal year, and amount as the gold answer: $2,018 million for Amcor's adjusted non-GAAP EBITDA in FY 2023."
fb_mvp_010,Amcor,AMCOR_2023Q4_EARNINGS,novel-generated,,12,hybrid_rag,Hybrid RAG,"12,11,7",11,1.0,0.3333333333333333,correct,1.0,2339,242,2581,7516,bm25_tfidf_rrf_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer states Amcor's Adjusted Non-GAAP EBITDA for FY 2023 as $2,018 million, which matches the gold answer's $2,018mn exactly. The additional detail (twelve months ended June 30, 2023) does not conflict and the value is fully correct."
fb_mvp_011,JPMorgan,JPMORGAN_2023Q2_10Q,novel-generated,,85,pageindex,PageIndex,"85,54,87",84,1.0,0.3333333333333333,correct,1.0,3886,336,4222,5659,tree_page_scoring,,"The predicted answer correctly states that the risk decreased, which matches the gold answer. The additional detail does not alter correctness."
fb_mvp_011,JPMorgan,JPMORGAN_2023Q2_10Q,novel-generated,,85,long_context,Long-context,"85,54,8",84,1.0,0.3333333333333333,correct,1.0,199177,452,199629,28837,full_document_context,deepseek/deepseek-v4-pro,"The predicted answer correctly states that the VaR decreased, which fully matches the gold answer 'Yes. It decreased.' The extra details do not contradict or deviate from this, making it correct."
fb_mvp_011,JPMorgan,JPMORGAN_2023Q2_10Q,novel-generated,,85,vector_rag,Vector RAG + reranker,"85,54,67",84,1.0,0.3333333333333333,correct,1.0,1754,247,2001,7031,tfidf_vector_search_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer directly states that the risk decreased, matching the gold answer exactly. The additional detail about the $7 million decrease and reference to page 85 is consistent and does not introduce any error."
fb_mvp_011,JPMorgan,JPMORGAN_2023Q2_10Q,novel-generated,,85,hybrid_rag,Hybrid RAG,"85,54,56",84,1.0,0.3333333333333333,correct,1.0,1754,308,2062,8823,bm25_tfidf_rrf_plus_rerank,deepseek/deepseek-v4-pro,The predicted answer correctly states that the risk decreased and provides supporting detail that matches the gold answer's conclusion.
fb_mvp_012,Johnson & Johnson,JOHNSON_JOHNSON_2023_8K_dated-2023-08-30,novel-generated,,4,pageindex,PageIndex,"4,6,8",3,1.0,0.3333333333333333,correct,1.0,2107,176,2283,4082,tree_page_scoring,,"The predicted answer identifies the same business segment (Consumer Health) and the same effective date (August 30, 2023) as the gold answer. The slight wording difference ('Consumer Health business' vs 'Consumer Health business segment') does not change the meaning or completeness."
fb_mvp_012,Johnson & Johnson,JOHNSON_JOHNSON_2023_8K_dated-2023-08-30,novel-generated,,4,long_context,Long-context,"4,6,8",3,1.0,0.3333333333333333,correct,1.0,17089,180,17269,3753,full_document_context,deepseek/deepseek-v4-pro,"The predicted answer identifies the Consumer Health business segment as the discontinued operation, matching the gold answer exactly in substance. The additional ""[PAGE 4]"" is just a source reference and does not affect correctness."
fb_mvp_012,Johnson & Johnson,JOHNSON_JOHNSON_2023_8K_dated-2023-08-30,novel-generated,,4,vector_rag,Vector RAG + reranker,"4,6,8",3,1.0,0.3333333333333333,correct,1.0,1726,188,1914,5106,tfidf_vector_search_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer correctly identifies the Consumer Health business as the segment to be treated as a discontinued operation, matching the gold answer's specification of the Consumer Health business segment. The citation '[PAGE 4]' does not affect the correctness."
fb_mvp_012,Johnson & Johnson,JOHNSON_JOHNSON_2023_8K_dated-2023-08-30,novel-generated,,4,hybrid_rag,Hybrid RAG,"4,6,8",3,1.0,0.3333333333333333,correct,1.0,1726,179,1905,5626,bm25_tfidf_rrf_plus_rerank,deepseek/deepseek-v4-pro,"The predicted answer correctly identifies the Consumer Health business (segment) as the discontinued operation, which fully matches the gold answer. The citation '[PAGE 4]' does not affect correctness."
